
Period Length,Period Start,Usage (kWh),Cost ($),High Temp (F),Avg Temp (F),Low Temp (F),Billed Data
Month,06/19/2024,2540,$ 330.25,96,84,77,100 %
Month,05/20/2024,2121,$ 264.12,93,83,69,100 %
Month,04/19/2024,1156,$ 191.22,89,76,56,100 %
Month,03/20/2024,456,$ 84.42,84,70,51,100 %
Month,02/20/2024,368,$ 70.47,82,67,47,100 %
Month,01/22/2024,271,$ 59.95,77,57,32,100 %
Month,12/18/2023,481,$ 94.89,73,48,10,100 %
Month,11/15/2023,394,$ 80.44,80,60,38,100 %
Month,10/17/2023,383,$ 78.95,90,69,43,100 %
Month,09/18/2023,1178,$ 212.01,94,77,51,100 %
Month,08/17/2023,2510,$ 362.56,104,86,73,100 %
Month,08/01/2023,1477,$ 187.26,99,89,77,100 %
